qid,question,expected,gold_chunks,retrieval_hit_at_5,first_relevant_rank,rr,citation_chunks,citation_hits_gold,retrieval_latency_s,ttft_s,llm_total_s,e2e_s,trace_id,status
Q01,Thời hạn gia hạn của Orion Enterprise là bao lâu?,30 ngày kể từ ngày gói dịch vụ hết hạn.,doc_21_chunk_4,PASS,1,1.0,doc_21_chunk_4,PASS,1.711,6.702,7.746,9.477,99b74439-d52f-44a2-b6c2-b1e6492b0d9c,completed
Q06,Enterprise và Lite khác nhau như thế nào về chu kỳ sao lưu và thời gian lưu bản sao lưu?,Enterprise sao lưu mỗi 6 giờ và giữ 30 ngày; Lite sao lưu mỗi 24 giờ và giữ 7 ngày.,doc_21_chunk_10,PASS,2,0.5,doc_21_chunk_10,PASS,0.625,3.691,4.489,13.917,90b24278-dbe0-4344-8cdd-05ec1cffa75e,completed
Q09,Orion Lite có thời gian gia hạn 30 ngày đúng không?,Không. Orion Lite có thời gian gia hạn 14 ngày; 30 ngày là thời gian gia hạn của Orion Enterprise.,"doc_21_chunk_7,doc_21_chunk_4",PASS,1,1.0,"doc_21_chunk_7,doc_21_chunk_4",PASS,0.716,7.773,8.768,9.493,0b9a4e14-8824-4e7f-80c4-ee32bf562b6c,completed
Q14,Một khách hàng Enterprise đã hết hạn gói 10 ngày nhưng chưa gia hạn. Họ có thể tạo workspace mới không?,Không. Enterprise chỉ cho phép tạo workspace mới trong 7 ngày đầu của thời gian gia hạn; ngày thứ 10 đã vượt giới hạn này.,doc_21_chunk_4,PASS,1,1.0,doc_21_chunk_4,PASS,0.574,5.879,6.883,7.464,537a9acd-766b-408e-8fcb-6401d876a434,completed
Q16,Orion Enterprise có giá bao nhiêu mỗi tháng?,Không có thông tin trong tài liệu.,doc_21_chunk_15,FAIL,,0.0,,FAIL,0.42,8.594,9.091,9.52,6bc22915-b8b4-430e-9400-c49f59213fdb,completed
Q02,Orion Lite cung cấp bao nhiêu GB dung lượng lưu trữ?,50 GB cho mỗi tổ chức.,doc_21_chunk_8,PASS,1,1.0,doc_21_chunk_8,PASS,1.875,5.349,5.794,7.683,36200e58-cd8c-4fee-8ad5-ed3639c2038d,completed
Q03,Mỗi file tải lên Orion Enterprise được phép có dung lượng tối đa bao nhiêu?,200 MB.,doc_21_chunk_5,PASS,1,1.0,doc_21_chunk_5,PASS,0.467,5.686,6.118,6.595,b3deb2b8-37ad-4611-9219-9fe41b699d18,completed
Q04,Nếu gói Enterprise vừa hết hạn thì khách hàng còn bao nhiêu ngày để gia hạn?,30 ngày.,doc_21_chunk_4,PASS,1,1.0,doc_21_chunk_4,PASS,0.584,4.897,5.972,6.563,64b5e546-a5a7-46e5-b178-fb35f2734f70,completed
Q05,Gói nào cho phép một tổ chức có tối đa 250 người dùng đang hoạt động?,Orion Enterprise.,doc_21_chunk_6,PASS,1,1.0,doc_21_chunk_6,PASS,0.441,3.856,4.257,4.709,78a8e733-9df7-4885-b57a-6b28dae3e9c5,completed
Q07,"Trong thời gian gia hạn Enterprise, khách hàng còn làm được gì và bị hạn chế gì?","Khách hàng vẫn có thể đăng nhập và xem tài liệu đã lưu. Sau 7 ngày đầu của thời gian gia hạn, họ không thể tạo workspace mới.",doc_21_chunk_4,PASS,1,1.0,doc_21_chunk_4,PASS,0.409,9.956,10.493,16.835,fe27f200-7cc6-45d2-a66f-78911ca31f3e,completed
Q08,Nếu tôi cần SSO và lưu nhật ký hoạt động ít nhất 6 tháng thì nên dùng gói nào?,"Orion Enterprise, vì SSO chỉ có ở Enterprise và Enterprise lưu nhật ký hoạt động 180 ngày.",doc_21_chunk_13,PASS,1,1.0,doc_21_chunk_13,PASS,0.456,9.159,10.159,10.624,31692bdd-cc75-4cee-ab60-0c8513f88d4c,completed
Q10,Orion Enterprise chỉ hỗ trợ tối đa 25 thành viên phải không?,Không. Enterprise hỗ trợ tối đa 250 thành viên hoạt động; 25 là giới hạn của Orion Lite.,"doc_21_chunk_6,doc_21_chunk_9",PASS,3,0.3333,"doc_21_chunk_6,doc_21_chunk_9",PASS,0.402,4.441,5.052,5.461,b8f49cd5-2b8c-4b0b-a17b-d98a50ca910f,completed
Q11,So sánh khả năng khôi phục dữ liệu của Enterprise và Lite.,Enterprise cho phép yêu cầu khôi phục từ bản sao lưu còn hạn và xử lý yêu cầu tiêu chuẩn trong 8 giờ làm việc. Lite không hỗ trợ yêu cầu khôi phục một bản sao lưu cụ thể; đội vận hành chỉ có thể khôi phục ở cấp hệ thống khi xảy ra sự cố.,doc_21_chunk_11,PASS,1,1.0,"doc_21_chunk_11,doc_21_chunk_10",PASS,0.553,7.308,9.487,14.06,a04e5aac-24ed-46df-8b9e-f22c8837dc9c,completed
Q12,Gói Enterprise có những lợi thế nào về hỗ trợ kỹ thuật so với Lite?,Enterprise hỗ trợ 24/7 và có mục tiêu phản hồi ban đầu 1 giờ cho sự cố nghiêm trọng. Lite chỉ hỗ trợ 08:00–18:00 từ thứ Hai đến thứ Sáu và tài liệu không quy định thời gian phản hồi cụ thể theo mức độ nghiêm trọng.,doc_21_chunk_12,PASS,1,1.0,"doc_21_chunk_12,doc_21_chunk_11,doc_21_chunk_13",PASS,0.605,9.661,11.929,12.54,0a8b510d-6989-4cbc-9687-91aef2470fdb,completed
Q13,"Tôi cần 100 thành viên, 10 workspace và file 120 MB. Gói Lite có đáp ứng được không?","Không. Lite chỉ hỗ trợ tối đa 25 thành viên, 5 workspace và file tối đa 50 MB. Enterprise đáp ứng cả ba yêu cầu với giới hạn 250 thành viên, 20 workspace và 200 MB mỗi file.","doc_21_chunk_9,doc_21_chunk_8,doc_21_chunk_6,doc_21_chunk_5",PASS,1,1.0,"doc_21_chunk_9,doc_21_chunk_8,doc_21_chunk_6",PASS,0.352,9.736,11.567,11.926,a03cef44-40e2-49c0-866a-f912f15e7fa3,completed
Q14,Một khách hàng Enterprise đã hết hạn gói 10 ngày nhưng chưa gia hạn. Họ có thể tạo workspace mới không?,Không. Enterprise chỉ cho phép tạo workspace mới trong 7 ngày đầu của thời gian gia hạn; ngày thứ 10 đã vượt giới hạn này.,doc_21_chunk_4,PASS,1,1.0,doc_21_chunk_4,PASS,0.356,3.545,4.406,4.768,82f4f27b-8e19-4732-89b1-e71a5cb1dc07,completed
