question_id,question_type,status,answer_chars,citation_count,retrieval_latency_s,ttft_s,e2e_s,top_chunk,answer
D2-Q01,version_confusion,completed,61,1,0.775,9.06,10.336,doc_23_chunk_2,180 ngày — bản ghi kiểm toán được lưu giữ trong 180 ngày [5].
D2-Q02,version_confusion,completed,217,2,0.413,10.412,11.698,doc_23_chunk_2,"So với 2025, chính sách Enterprise 2026 tăng giới hạn như sau:

- Thành viên hoạt động: từ 300 (2025) lên 400 (2026) — tăng 100 thành viên. [2][1]  
- Workspaces: từ 25 (2025) lên 30 (2026) — tăng 5 workspaces. [2][1]"
D2-Q03,near_duplicate,completed,441,2,0.717,12.101,14.612,doc_22_chunk_4,"- Gói Enterprise Plus cho phép tối đa 500 MB mỗi file [3].  
- Về thời gian gia hạn: không có thông tin nào trong mục Enterprise Plus cho thấy gói này làm thời gian gia hạn dài hơn; tài liệu Enterprise Plus không đề cập thay đổi thời hạn gia hạn [3].  
- Lưu ý: chỉ có hợp đồng riêng của ACME Corp nêu thời gian gia hạn 45 ngày, nhưng đó là điều khoản khách hàng cụ thể và không áp dụng làm chuẩn chung trừ khi có xung đột cho ACME Corp [5]."
D2-Q04,multi_document,completed,738,3,0.43,8.113,10.452,doc_33_chunk_3,"Gói tối thiểu đáp ứng yêu cầu của bạn: Aster Enterprise.

Chi tiết và nguồn:
- SAML SSO có trong Aster Enterprise (và Enterprise Plus) nên đáp ứng yêu cầu SSO của bạn [1].  
- Aster Enterprise sao lưu mỗi 6 giờ, tức là “không quá 6 giờ một lần” được thỏa mãn (sao lưu Enterprise: every 6 hours) [5].  
- Tài liệu không nêu rõ giới hạn số thành viên cụ thể, chỉ cho biết Enterprise dành cho tổ chức lớn và Enterprise Plus có sức chứa cao hơn; do đó bạn nên xác nhận trực tiếp với đội bán hàng/hỗ trợ nếu cần đảm bảo tối thiểu 350 thành viên hoặc xem xét Enterprise Plus nếu cần sức chứa lớn hơn [4].

Nếu muốn, tôi có thể soạn một câu hỏi mẫu để bạn gửi cho đội bán hàng/hỗ trợ nhằm xác nhận giới hạn thành viên và các điều khoản phục hồi."
D2-Q05,multi_document,completed,497,3,0.388,11.24,13.555,doc_24_chunk_5,"Cấu hình phù hợp: Enterprise Plus — vì cung cấp backup mỗi 3 giờ [1].

Lưu ý:
- Aster Enterprise tiêu chuẩn chỉ hỗ trợ tới 400 thành viên (không đủ cho 450) [4].
- Tài liệu ghi Enterprise Plus “thêm dung lượng” nhưng không nêu rõ giới hạn thành viên cụ thể, nên cần xác nhận giới hạn thành viên của gói Enterprise Plus trước khi quyết định [5].

Khuyến nghị: Liên hệ bộ phận bán hàng/hỗ trợ để xác nhận Enterprise Plus có thể chứa ít nhất 450 thành viên; nếu không, cần xem xét cấu hình tùy chỉnh."
D2-Q06,distractor,completed,313,2,0.416,12.487,14.16,doc_29_chunk_2,"- Backup chuẩn của Aster Enterprise 2026 là mỗi 6 giờ. [2]  
- Sự cố ngày 18/6 là một trường hợp khôi phục ngoại lệ — một số tenant đã được khôi phục từ bản sao lưu cũ hơn 6 giờ vì snapshot gần nhất ở một vùng không khả dụng — nhưng sự kiện này không thay đổi lịch sao lưu hay chính sách giữ bản sao chuẩn. [1][2]"
D2-Q07,contract_conflict,completed,215,1,0.429,6.897,8.05,doc_30_chunk_2,"Không. Khoảng gia hạn 45 ngày là điều khoản riêng trong hợp đồng ký với ACME Corp và được ghi rõ là chỉ áp dụng cho ACME Corp, không định nghĩa chính sách tiêu chuẩn của Aster Enterprise cho các khách hàng khác [1]."
D2-Q08,contract_conflict,completed,191,1,0.454,4.18,5.478,doc_30_chunk_2,"45 ngày.

Hợp đồng của ACME Corp quy định thời gian gia hạn là 45 ngày và đối với những điều khoản được bao phủ, ACME Corp sẽ tuân theo hợp đồng này nếu có mâu thuẫn với chính sách chuẩn [1]."
D2-Q09,cross_language,completed,249,1,0.427,4.745,6.078,doc_23_chunk_6,"- Aster Enterprise 2026: audit log được lưu 180 ngày [1].  
- Aster Lite: không có thông tin về thời hạn lưu audit log trong các đoạn văn bản được cung cấp.  

Nếu bạn muốn, hãy cung cấp đoạn tài liệu về Data retention của Lite để tôi kiểm tra tiếp."
D2-Q10,multi_document,completed,213,2,0.422,5.527,6.62,doc_32_chunk_2,"Có.  

- Khách hàng Enterprise Plus ở APAC có thể yêu cầu lưu trữ chính ở vùng Singapore [1].  
- Enterprise Plus thiết lập sao lưu mỗi 3 giờ (và lưu trữ bản sao 45 ngày) nên họ vẫn được sao lưu 3 giờ một lần [2]."
D2-Q11,hard_no_answer,completed,268,2,0.377,4.725,5.916,doc_33_chunk_3,"Tài liệu cung cấp không nêu mức phí hàng tháng cho Aster Enterprise Plus.

- Aster Enterprise Plus là một add-on tùy chọn cho khách hàng Aster Enterprise [2].  
- FAQ của Aster ghi rõ tài liệu FAQ không định nghĩa về giá cả (pricing) hoặc các điều khoản hoàn tiền [3]."
D2-Q12,hard_no_answer,completed,213,1,0.361,8.97,10.291,doc_33_chunk_3,Không có thông tin trong các đoạn ngữ cảnh được cung cấp về số giờ Aster cam kết xóa vĩnh viễn dữ liệu sau khi cửa sổ export kết thúc. Tài liệu chỉ nêu rằng khách hàng có thể yêu cầu full export trong 20 ngày [4].
D2-Q13,multi_document,completed,296,1,0.425,16.512,18.174,doc_27_chunk_4,"Tài liệu không nêu khoảng thời gian cụ thể để khách hàng Enterprise ""yêu cầu full export"" sau khi hết grace period. [4]

Thêm chi tiết hữu ích từ tài liệu:
- Grace period của gói Enterprise (2026) là 30 ngày; nếu không gia hạn sau 30 ngày, tài khoản chuyển sang chế độ read-only thêm 20 ngày. [4]"
D2-Q14,near_duplicate,completed,272,1,0.462,4.872,6.44,doc_26_chunk_4,"Không. Khách hàng Aster Lite không thể yêu cầu khôi phục một backup cụ thể; mặc dù dữ liệu được sao lưu mỗi 24 giờ và được lưu giữ trong 7 ngày, yêu cầu khôi phục cụ thể không được hỗ trợ (đội vận hành chỉ có thể thực hiện khôi phục ở mức hệ thống sau sự cố nền tảng) [1]."
D2-Q15,multi_document,completed,915,3,0.381,8.234,10.617,doc_33_chunk_3,"Không có số cụ thể về giới hạn thành viên hay giới hạn file upload trong các đoạn văn bản bạn cung cấp. Thông tin chỉ nêu nguyên tắc áp dụng như sau:

- Sau khi nâng từ Lite lên Enterprise, các giới hạn của gói Enterprise sẽ có hiệu lực ngay khi nâng cấp hoàn tất [3].  
- Nếu bạn bật thêm Enterprise Plus sau khi đã nâng lên Enterprise, giới hạn theo dung lượng/capacity của Enterprise Plus sẽ áp dụng sau khi add-on được kích hoạt [3][2].  
- Nếu hóa đơn của bạn ở khu vực APAC, bạn có thể yêu cầu lưu trữ chính ở Singapore nhưng ghi chú APAC không thay đổi giới hạn thành viên hay giới hạn workspace (tức không ảnh hưởng tới giới hạn thành viên) [5].

Để biết các con số cụ thể (số thành viên tối đa, kích thước/giới hạn upload file), bạn phải xem tài liệu chính sách của từng gói (plan policy documents) hoặc tài liệu sản phẩm tương ứng; các đoạn ngữ cảnh hiện tại không liệt kê các giới hạn số liệu này [3][2]."
